City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-13.32,97,100,3.58,RU,1699909976
1,port saint john's,-31.6229,29.5448,17.08,81,100,4.12,ZA,1699909976
2,ta`u,-14.2336,-169.5144,27.82,83,89,3.88,AS,1699909976
3,timbuktu,16.7735,-3.0074,28.86,9,0,4.7,ML,1699909976
4,alexandria,31.2156,29.9553,22.45,64,0,2.96,EG,1699909701
5,bethel,41.3712,-73.414,8.05,58,75,3.09,US,1699909976
6,arevalo,41.0626,-4.7204,13.5,79,4,2.43,ES,1699909976
7,olonkinbyen,70.9221,-8.7187,-2.48,70,100,2.91,SJ,1699909977
8,invercargill,-46.4,168.35,13.01,59,28,3.83,NZ,1699909977
9,bac lieu,9.285,105.7244,26.07,88,99,7.37,VN,1699909977
10,hawaiian paradise park,19.5933,-154.9731,26.05,82,75,3.09,US,1699909923
11,grytviken,-54.2811,-36.5092,2.64,97,100,3.03,GS,1699909977
12,ilulissat,69.2167,-51.1,-4.99,63,100,5.66,GL,1699909977
13,margaret river,-33.95,115.0667,14.84,89,99,5.06,AU,1699909977
14,papatowai,-46.5619,169.4708,14.05,58,31,2.93,NZ,1699909977
15,albany,42.6001,-73.9662,4.73,65,99,0.89,US,1699909947
16,susuman,62.7833,148.1667,-33.09,99,80,0.14,RU,1699909978
17,sitka,57.0531,-135.33,3.94,70,100,3.09,US,1699909978
18,crane,31.3974,-102.3501,12.25,82,100,4.36,US,1699909978
19,palikir - national government center,6.9248,158.1611,28.47,84,100,1.54,FM,1699909978
20,port-aux-francais,-49.35,70.2167,6.88,96,100,17.87,TF,1699909978
21,markovo,57.3206,107.0881,-4.49,95,100,2.8,RU,1699909978
22,pemba,-12.974,40.5178,27.39,78,40,2.06,MZ,1699909978
23,adamstown,-25.066,-130.1015,23.02,86,91,8.74,PN,1699909978
24,san patricio,28.017,-97.5169,18.24,92,100,5.91,US,1699909978
25,tiksi,71.6872,128.8694,-13.2,88,100,4.08,RU,1699909978
26,argayash,55.4888,60.8767,2.83,80,100,7.61,RU,1699909979
27,queenstown,-31.8976,26.8753,11.36,78,100,4.67,ZA,1699909979
28,bayan,46.0833,127.4,-18.01,100,72,1.48,CN,1699909979
29,dampit,-8.2116,112.7493,21.42,96,47,1.22,ID,1699909979
30,bilibino,68.0546,166.4372,-27.27,100,99,2.4,RU,1699909943
31,ribeira grande,38.5167,-28.7,15.22,94,75,3.09,PT,1699909979
32,alice springs,-23.7,133.8833,24.75,31,16,3.6,AU,1699909979
33,ushuaia,-54.8,-68.3,4.81,65,75,14.31,AR,1699909522
34,chelak,39.9203,66.8611,5.42,51,0,3.74,UZ,1699909979
35,caconda,-13.7333,15.0667,19.54,60,100,1.06,AO,1699909979
36,edinburgh of the seven seas,-37.0676,-12.3116,13.74,81,8,11.13,SH,1699909979
37,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699909980
38,acapulco de juarez,16.8634,-99.8901,31.9,55,0,7.2,MX,1699909954
39,valparaiso,-33.0393,-71.6273,21.8,59,0,5.66,CL,1699909907
40,isafjordur,66.0755,-23.124,2.61,83,85,4.33,IS,1699909980
41,noshiro,40.2039,140.0242,7.16,73,100,8.85,JP,1699909980
42,taulaga,-11.0553,-171.0883,29.07,74,90,5.83,AS,1699909980
43,east london,-33.0153,27.9116,16.29,76,99,4.41,ZA,1699909980
44,west island,-12.1568,96.8225,25.99,78,100,3.6,CC,1699909980
45,astrakhan,46.3497,48.0408,6.93,93,58,0.0,RU,1699909980
46,osinovo,55.8809,48.881,7.05,84,100,7.6,RU,1699909980
